subject
Personaggi: Gesù Bambino; Madonna; S. Giuseppe. Figure: angelo. Animali: asino.
SAN GIOVANNI BATTISTA
DEPOSIZIONE DI CRISTO DALLA CROCE
"Il dipinto con la Madonna in trono e Gesù Bambino fa parte delle cinque tavole del polittico di San Gregorio, ripartito su due livelli. L’immagine è raffigurata nel pannello centrale, in basso.La Regina Coeli, siede su un semplice trono ed ha sul capo scoperto una corona di rose sorretta da angeli in volo. Sulle sue ginocchia Gesù Bambino, nudo, reca al collo un rametto di corallo e stringe nella mano sinistra una mela e con l'altra prende alcune ciliegie offerte dalla Madre. La Santa Vergine indossa abiti lussuosi, delineati secondo la moda del tempo, come il rosso corpetto damascato che emerge da una tunica rosacea e l'ampio manto blu decorato a fiori di melograno incisi e lumeggiati in oro, riscoperti nel recente restauro.Il trono poggia su di una pedana mistilinea aggettante verso lo spettatore, da cui pende una collana di trentotto granati. Accanto alla collana è dipinto un cartiglio con la firma dell'autore e la data 1473.Tutte le figure comprese quelle dei pannelli laterali con San Benedetto e San Gregorio sono collocate in uno spazio unitario, anche se il fondo dorato di ideologia arcaica e forse voluto dalla committenza, non limita affatto la sensazione di profondità, resa veritiera da una luce vibrante che trascolora sulle pietre squadrate di un muretto movimentando la fissità della scena. Altri espedienti di unificazione sono utilizzati dall’autore per dare continuità alla raffigurazione del livello inferiore, quali il manto della vergine allungato nel pannello con San Benedetto a destra, la pedana mistilinea posta su di un basamento a gradoni rettilineo che si propagano ambedue nei due pannelli laterali.La cornice, non più esistente e presumibilmente in legno intagliato e dorato, contribuiva ulteriormente ad unificare il complesso svolgimento della sacra rappresentazione, racchiudendo le tavole in un unico apparato. L’intelaiatura decorativa, infatti, non incorniciava singolarmente i pannelli ma serviva per arricchire e supportare realisticamente gli elementi architettonici, dipinti con straordinari effetti prospettici, in modo tale da far sembrare le immagini superiori inserite veramente in un piano sovrastante, entro ipotetiche finestre."
"Il dipinto con San Gregorio Magno fa parte delle cinque tavole del polittico di San Gregorio, ripartito su due livelli. L’immagine è raffigurata nel pannello inferiore di sinistra, mentre sulla parte opposta è rappresentata quella di San Benedetto. Le suore benedettine vollero così esplicitamente manifestare la loro devozione verso i due Santi connessi alla loro vita monastica: San Benedetto fondatore dell’ordine e San Gregorio del monastero. Il polittico fu commissionato dalla badessa suor Fabia Cirino, il cui arme gentilizio della importante famiglia di appartenenza è visibile in basso nel pannello con San Gregorio Magno.Le figure dei due Santi sono lievemente orientate verso l’icona centrale, raffigurante la Madonna in trono con Gesù Bambino, e rievocano nel geometrico panneggio della cotta l’impostazione di due salde colonne scanalate. Il paramento liturgico e gli attributi iconografici del triregno papale e del pastorale definiscono l’eminenza ecclesiale di Papa San Gregorio Magno. L’immagine è caratterizzata da una ricercata ricchezza del decoro prezioso, evidente nella sontuosa casula in tessuto serico damascato, nei gioielli del triregno e nella composizione del pastorale dal nodo architettonico in argento dorato.La granitica posizione del Santo è movimentata dalla fuoriuscita della punta del piede dalla pedana di appoggio, che insieme ad altri singolari espedienti prospettici danno una tangibile sensazione di realismo. Tutte le figure sono collocate in uno spazio unitario, anche se il fondo dorato di ideologia arcaica e forse voluto dalla committenza, non limita affatto la sensazione di profondità resa veritiera da una luce vibrante che trascolora sulle pietre di un muretto in mattoni movimentando la fissità della scena. La cornice, non più esistente e presumibilmente in legno intagliato e dorato, contribuiva ulteriormente ad unificare il complesso svolgimento della sacra rappresentazione, racchiudendo le tavole in un unico apparato. L’intelaiatura decorativa, infatti, era stata progettata anche per supportare realisticamente l'architettura, dipinta con straordinari effetti prospettici. La firma dell'autore e la data 1473 si rilevano entro un cartiglio posto nel pannello centrale, in basso."
Crocifissione
ritratto di Papa Paolo III
Ritratto di Pier Luigi Farnese
ciociari
Madonna con bambino e Santi
ANNUNCIAZIONE
Madonna con Bambino e santi
NATURA MORTA
Madonna Addolorata
Personaggi: S. Giovanni Battista. Attributi: (S. Giovanni Battista) bastone; agnello.
Personaggi: Gesù; S. Giovanni Battista; Madonna; S. Gioacchino; S. Elisabetta; S. Anna. Attributi: (S. Giovanni Battista) croce; (S. Gioacchino) barba bianca; bastone; sfera.
RITRATTO DI ECCLESIASTICO
RITRATTO FEMMINILE
Paesaggio campestre
circoncisione di Gesù Bambino
madonna con bambino
"Figure geometriche, Geometric painting"
"Composizione astratta, figure geometriche, Geometric painting opus n. 8"
Paesaggio con animali
Contadini in festa
ritratto di Giovanni Michele Asinari di Virle
incredulità di san Tommaso
ritratto di Carlo di Savoia
Ritratto di donna
RITRATTO DI ECCLESIASTICO
il Redentore; gli Evangelisti e i padri della Chiesa
Martirio di Santo Stefano protomartire
Veduta di città
stemma di Carpi
Ritratto di Giovanni Pico di Alessandro II
Figure: Fama; Eternità. Attributi: (Eternità) serpe; (Fama) tromba. Oggetti: corona; mascherone.
Personaggi: Maria Vergine; Gesù Bambino; S. Giuseppe; re Magi. Figure: angeli; fanciulli. Animali: bue; asino. Oggetti: corone; vasetti; spada. Architetture: capanna; pilastro.
VEDUTA DEL PALAZZO DEGLI ANZIANI E DELLA TORRE
Sacra Famiglia
Adorazione dei pastori
martirio di San Pietro Martire
RITRATTO DI ECCLESIASTICO
PAESAGGIO LACUSTRE
"paesaggio con contadine, Campagna con figure"
"natura morta con frutta e paesaggio, Natura morta con uva, anguria e paesaggio"
"la persecuzione dei Greci, La persecuzione dei Greci"
Giochi per intrattenersi
testa di santa
Chiesa antica
"figura femminile, Donna negra"
Eremita
motivi decorativi geometrici e vegetali stilizzati
Motivi decorativi vegetali
motivi decorativi vegetali a palmette
occhio divino
motivi decorativi vegetali
MOTIVI DECORATIVI GEOMETRICI
MOTIVI DECORATIVI GEOMETRICI
MOTIVI DECORATIVI GEOMETRICI
MOTIVI DECORATIVI VEGETALI
Quattro stagioni
"contadina, Cloe"
FIGURA FEMMINILE CON DROMEDARIO
Santa Monaca
Madonna con Bambino
Arcangelo Gabriele in trono
trionfo della morte
ritratto di giovane donna
adorazione dei re Magi
Madonna con Bambino e santi
Salome con la testa di San Giovanni Battista sul piatto
RESURREZIONE DI CRISTO
morte di San Giuseppe
MADONNA CON BAMBINO E SAN GIOVANNINO
MOTIVI DECORATIVI
Angioletto
Ritratto d'uomo
Imbarco da Venezia di Marcantonio Colonna con le truppe alleate
Natura morta con frutta
Testa di donna
paesaggio con animali
Giovane donna
Personaggi: San Sebastiano.
paesaggio con animali
Veduta
ADORAZIONE DEI PASTORI
personaggi: San Pietro
PERSONAGGI : CRISTO
"scena di battaglia, Fasti Farnesiani"
Scena mitologica
battaglia
"Cristo benedice i fanciulli, Cristo benedice i fanciulli alla presenza degli Apostoli"
veduta di Villa d'Orri in Sardegna
ritratto di Papa Pio VI
luci sul canale
Cristo tra gli apostoli
paesaggio lacustre
Allegoria della Vittoria come aquila
ritratto di Maria Caterina d'Este
ritratto di Amedeo V di Savoia
"ritratto d'uomo, Ritratto del cardinale G.B. De Luca"
Allegoria della musica
PAESAGGIO
Paesaggio
incoronazione di spine
Architettura illusionistica
Soggetti sacri. Personaggi: Enoch; Elia; Apostoli; Madonna; Arcangelo Gabriele; Gesù Cristo; San Pietro apostolo. Figure maschili: frati. Figure: beati; angeli; cherubini; dannati. Paesaggi. Oggetti: trombe. Simboli della passione.
PAESAGGIO
ritratto virile
Paesaggio
volatili e animali con vegetazione orientaleggiante
volatili e animali con vegetazione orientaleggiante
volatili e animali con vegetazione orientaleggiante
Santo monaco
Presentazione di Maria Vergine al tempio
San Francesco di Paola guarisce un infante
"ritratto di donna, Ritratto di giovane donna"
Cristo in pietà sorretto da angeli
GLORIA DI ANGELI
Paesaggio fluviale
Personaggi: Gesù Cristo; San Giovanni Evangelista; San Giuseppe d'Arimatea.
Personaggi: Gesù Bambino; Madonna; San Giuseppe; San Simeone. Figure femminili. Figure maschili. Figure: angeli.
Personaggi: certosino. Oggetti: penna; calamaio; lettera.
Il viatico del povero
CRISTO CROCIFISSO TRIONFANTE
Personaggi: San Benedetto; Santa Scolastica; Gesù Cristo; Dio Padre. Simboli: Colomba Spirito Santo. Figure: angelo; cherubini. Attributi: (S. Benedetto) pastorale. Attributi: (S. Scolastica) giglio. Abbigliamento religioso. Simboli del martirio: croce.
Madonna con Bambino
VISITAZIONE
storie di eremiti
SAN FRANCESCO D'ASSISI RICEVE LE STIMMATE
Personaggi: Santa Maria Maddalena; Gesù Bambino; Madonna; Santa Caterina d'Alessandria. Figure: angeli. Abbigliamento: all'antica. Attributi: (Santa Maria Maddalena) vaso per unguenti. Attributi: (Santa Caterina d'Alessandria) corona. Oggetti: vasi; turiboli; navicelle; trono. Simboli: (anima umana) cardellino. Vegetali: fiori. Araldica: scudo araldico.
Ezechiele ha la visione della valle delle ossa inaridite
santa Caterina d'Alessandria
"veduta di Montebuono Sabino, A MONTEBUONO SABINO"
allegoria della Patria
"Federico Barbarossa cacciato da Alessandria, L'Imperatore Federico Barbarossa, durante il lungo assedio di Alessandria, avendo tentato d'impadronirsi per sorpresa della città, ne viene cacciato dal popolo (1174)"
sacrificio di Ifigenia
BUSTO DI GIUNONE
Motivi decorativi
MOTIVI DECORATIVI
Motivi decorativi
CRISTO
"Madonna con Gesù Bambino, san Floriano,san Domenico,san Petronio,san Procolo e un angelo che mostra una veduta di Bologna"
assunzione della Madonna
Stazioni della Via Crucis
PIATTO CON FRUTTI
Deposizione di Cristo dalla croce
divinità
Sant'Andrea condotto al martirio
tramonto
PAESAGGIO MARINO
paesaggio
stazione VII: gesù cade sotto la croce la seconda volta
"figura maschile, Guardia Belgiorno"
malinconia
martirio di San Bartolomeo
Madonna del Buon Consiglio
Battaglia
ascensione di Cristo
CRISTO BENEDICENTE
Personaggi: Madonna; Gesu' Bambino.
San Gabriele Arcangelo
San Gabriele arcangelo
Soggetti sacri: banchetto di Erode.
Personaggi: San Paolo. Attributi: (San Paolo) libro.
Sant'Agostino e altri personaggi
Personaggi: Madonna; Gesù bambino.
Personaggi: Madonna; Gesù bambino. Figure: angeli.
RITRATTI : GIUSEPPE GARIBALDI
Figure: giovane; donna. Abbigliamento. Oggetti: cappello piumato; bicchiere; piatti; forchetta; coltello; tovaglia; tovagliolo; pane; torta.
Ritratto di Papa
Decorazioni: motivi geometrici; cerchi.
Cristo portacroce
Personaggi: santi.
Personaggi: Santi.
ritratto di Papa Paolo III
ritratto di papa Paolo III
Architetture: Interno del transetto della chiesa di S. Ignazio a Roma.
COMPIANTO SU CRISTO MORTO
Personaggi: Alessandro Magno. Guerrieri: soldati. Paesaggi. Mezzi di trasporto: carri.
Poro assalito dai soldati macedoni
Tritoni in lotta
MADONNA IN TRONO CON BAMBINO
Personaggi: figura maschile.
Personaggi: Gesù Bambino; Sant'Antonio. Figure: angeli.
Personaggi: Madonna; Gesù Bambino. Figure: angeli; confratelli.
Veduta di città
santo vescovo
Miracolo della Madonna
Personaggi: frate domenicano. Figure: indemoniati; astanti.
Natività di Gesù
David con la testa di Golia
Personaggi: Gesù Bambino; Madonna; S. Giuseppe. Attributi: (Gesù Bambino) aureola; mangiatoia; (Madonna) veste rosa; manto azzurro; (S. Giuseppe) verga fiorita. Figure: angeli; pastori. Animali: bue; pennuti.
"Personaggi: Venere, Marte, Amorini. Attributi (Venere) nudità, amorini (Marte) corazza, calzari, spada, lancia, elmo, scudo. Paesaggio: bucolico con la presenza di frutti in primo piano. Animali: cavallo, colombe tubanti."
Vegetali: frutta; fiori. Animali: insetti; rettile; lumache.
San Giovanni Battista
nettuno
Personaggi: Madonna; Gesù Bambino. Figure: Uomo. Architetture. Paesaggi.
Personaggi: Madonna; Gesù Bambino. Figure: Uomo; donna; bambino. Oggetti: Culla.
soggetto assente
Motivi decorativi vegetali; Motivi decorativi geometrici
motivi decorativi vegetali
Paesaggio
Battaglia di cavalleria
Ritratto d'uomo
Incoronazione di Maria Vergine
MADONNA DEL ROSARIO CON SAN DOMENICO E SANTA CATERINA DA SIENA
Dio padre
Ritratto del cardinale Girolamo Bernieri
morte di San Giuseppe
personaggi: Cristo; San Giovanni Battista; astanti. personificazione: (Spirito Santo)colomba. abbigliamento: (Cristo) veste candida. paesaggio: fiume
Paesaggio
Sacra famiglia
Sacro cuore di Gesù
"Il dipinto raffigura i ""carusi"", cosÃ¬ venivano indicati i ragazzi impiegati nel duro lavoro nelle zolfatare siciliane, allâuscita del pozzo minerario. Sono curvi sotto il peso schiacciante dei sacchi di zolfo sulle spalle. Sono emersi dal buio infernale della miniera e camminano in fila accecati da una luce intensa. Uno dei ragazzi, sulla sinistra Ã¨ accasciato per terra, vinto dalla fatica."
La prateria è lambita dalle acque di un lago. Al centro della scena è raffigurato un alto frondoso albero e alcuni bovini al pascolo. Il quadro è chiuso in basso da una roccia.
PAESAGGIO CON CONTADINE
Personaggi: Maddonna; Ges˘ Bambino.Figure: angeli
"Soggetti profani: Danae e la pioggia d'oro.Personaggi: Danae, Cupido, Giove"
Veduta
"Sant'Antonio da Padova con il bambino, Gesù con Sant'Antonio e gloria di Angeli"
"pie donne al sepolcro, Le Marie"
"Testa di donna, Testa di donna"
scena mitologica
San Sebastiano
ritratto di Carlo Felice re di Sardegna
ritratto di Manfredo di Saluzzo
visita di Carlo Felice sul lago Maggiore
L'espugnazione di Bona
ritratto di vecchio
Sacro Cuore di Gesù
ritratto di Francesco Farnese
RITRATTO DI ELREDO CAPELLI
ritratto di Ranuccio II Farnese
RITRATTO DI SALOMONE TEDESCHI
RITRATTO DI MARGHERITA DE'MADICI
volatili e animali con vegetazione orientaleggiante
volatili e animali con vegetazione orientaleggiante
volatili e animali con vegetazione orientaleggiante
volatili e animali con vegetazione orientaleggiante
volatili e animali con vegetazione orientaleggiante
volatili e animali con vegetazione orientaleggiante
volatili e animali con vegetazione orientaleggiante
FIORI
Figura femminile
Paesaggio
NOZZE DI CANA
Madonna Immacolata e Santi
Sant'Agnese
San Giuseppe e Gesu' Bambino
RITRATTO D'UOMO
Santo Vescovo
Scena familiare
RITRATTO D'UOMO
ritratto d'uomo
Processione
ULISSE
San Vincenzo Ferrer
"Composizione di forme e segni liberi, Con presenze illusorie"
figura femminile
Andata di Cristo al Calvario
Natura morta
Santa Chiara d'Assisi in gloria
BATTESIMO DI CRISTO
Sant'Andrea
dodici cavalieri dell'Apocalisse
Santi
Testa d'uomo con barba
Motivi decorativi geometrici
Matrimonio mistico di santa Caterina d'Alessandria
MADONNA ADDOLORATA
PAESAGGIO LAGUNARE
ritratto di Giulia Clary con le figlie Zenaide e Carlotta
Morte del soldato
Madonna immacolata
"episodi della vita di San Francesco d'Assisi, San Francesco dona la regola dell'ordine alla chiesa di Dio"
TRIONFO DELLA MORTE
busto femminile
FIGURE ALLEGORICHE
Marte e simboli vari
MADONNA CON BAMBINO
Paesaggio
ritratto d'uomo
Cattura di Cristo
testa di vecchio
ANGELO CUSTODE
Soggetti sacri: Cristo crocifisso e santi. Personaggi: Cristo crocefisso; Madonna; San Giovanni Evangelista; Santa Chiara; Sant'Antonio da Padova. Figure: santi.
Ritratto di donna
ritratto di cardinale
Personaggi: Cristo; Nicodemo; Giuseppe d'Arimatea; San Giovanni Evangelista; San Pietro Apostolo; Santa Maria Maddalena; Madonna; Pie donne. Paesaggi.
natura morta
veduta
allegoria della religione
assedio di Nizza
Vedute: golfo di Napoli. Mezzi di trasporto: velieri. Architetture: castello.
"Composizione astratta, figure geometriche"
"Composizione astratta, figure geometriche"
presentazione di Gesù al tempio
figura maschile
SAN MICHELE ARCANGELO
Animali: anatre; lepre.
Personaggi: Madonna; Gesu' Bambino; San Giuseppe; Magi. Figure: angeli; astanti. Animali: cammello. Oggetti:turbante; ombrellino processionale.
adorazione dei pastori
Laocoonte
"Figure femminili, figure maschili e animali"
pietà
angelo
MADONNA CON BAMBINO
RITRATTO DI DONNA
paesaggio con alberi
Le sfogliatrici
Morte di santa Caterina da Siena
RITRATTO FEMMINILE
Paesaggio fantastico
Comunione degli apostoli
motivi decorativi vegetali e animali
Natura morta
Ritratto d'uomo
STRAGE DEGLI INNOCENTI
Soggetti sacri. Personaggi: Sant'Antonino (?) ; San Tommaso D'Aquino; SanGiovanni Evangelista; San Bernardo da Chiaravalle; San Giovannini Battista bambino; Madonna; Gesù Bambino; Sant' Anna Metterza; Trinita'; Santa Reparata; San Zanobi; San Barnaba (?); Sant' Andrea Corsini (?). Figure maschili: santi. Figure: angeli; cherubini. Abbigliamento: all'antica; contemporaneo. Oggetti: libri; croce astile; palma; pastorale; ostensorio; giglio stendardo; strumenti musicali. Architetture: gradini; nicchia.
Scena di Caccia
Nereidi e tritoni
Ritrovamento di Mosé
EDIFICI
"ritratto d'uomo, Ritratto di Cosimo de' Medici"
Sant'Antonino
CRISTO CONSEGNA LE CHIAVI A SAN PIETRO
Cattura di Cristo
presentazione di Gesù al tempio
ECCE HOMO
"Madonna con Bambino, angeli e monaci certosini che distribuiscono elemosina ai fanciulli bisognosi"
Personaggi: San Francesco d'Assisi. Abbigliamento religioso: saio; cordone. Figure: monaco.
Personaggi: San Lorenzo. Figure maschili. Abbigliamento religioso. Suppellettili ecclesiastiche.
veduta con casa di campagna e figure maschili che tendono una fune
Personaggi: Cristo. Strumenti del martirio: braccio orizzontale della Croce. Simboli della passione: sepolcro; copertura del sepolcro.
"Madonna della Cintola con San Lorenzo, San Tommaso e San Francesco"
Madonna col Bambino
MADONNA COL BAMBINO
Martirio di san Bartolomeo
Trinità con San Benedetto e San Giovanni Gualberto
apparizione di Cristo risorto a Santa Maria Maddalena
SAN CARLO BORROMEO IN PREGHIERA
elementi decorativi
angeli adoranti il calice eucaristico
fiori
"fiori, Fiori"
"Fiori, Fiori"
Cristo consegna le chiavi a San Pietro
cristo crocifisso
ASSUNZIONE DELLA MADONNA
sant'Antonio da Padova
nevicata
cavallo
Madonna con Bambino e santi
vaso di fiori
ritratto di Pietro da Eboli
atrio del Duomo di Salerno
madonna con bambino
ritratto di Papa Paolo III
ritratto di Pier Luigi Farnese
Ritratto di Pier Luigi Farnese
Personaggi: Alessandro Magno; Iaddo. Ecclesiastici: sacerdoti. Guerrieri: greci. Figure. Vedute.
Personaggi: Alessandro Magno. Mezzi di trasporto: carro. Guerrieri: soldati. Figure: paggio. Animali: pantera; leone; cavallo. Vegetali: fronde di ulivo.
veduta
Madonna con bambino
SAN GIOVANNI BATTISTA
Personaggi: Madonna.
Personaggi: figura maschile.
Vaso con fiori
ritratto d'uomo
ritratto di donna
Ritratto di donna
Animali: levriero. Oggetti: collare.
martirio di San Sebastiano
MARTIRIO DI SAN SEBASTIANO
San Pietro liberato dal carcere da un angelo
Paesaggio con alberi
paesaggio con alberi
"Personaggi: Madonna, Gesù Bambino.Attributi: falce di luna.Figure: testine alate"
Personaggi: Madonna; Gesù Bambino. Figure maschili.
Personaggi: Madonna; Gesù Bambino. Figure: Uomini. Oggetti: Letto.
MADONNA ORANTE
vaso con fiori
Madonna con bambino
Giuditta e Oloferne
Personaggi: S. Vincenzo Ferrer. Attributi: (S. Vincenzo Ferreri ) abiti domenicani; libro.
PAESAGGIO
Annunciazione
PAESAGGIO RURALE
MADONNA CON BAMBINO E SANTI
crocifissione di Cristo con la Madonna e San Giovanni evangelista
dama con paggio
veduta del bacino di San Marco a Venezia
riposo durante il ritorno dall'Egitto
